AQI,Date,Time,NO2,O3,SO2,PM10,PM25
139,2024-02-03,14:30,1.0,116.0,23.0,62.5,50.0
134,2024-02-03,13:30,1.0,109.7,25.3,60.0,48.0
126,2024-02-03,12:30,1.0,103.3,27.7,56.3,45.0
123,2024-02-03,11:30,1.0,97.0,30.0,55.0,44.0
129,2024-02-03,10:30,2.7,82.3,30.0,57.5,46.0
134,2024-02-03,09:30,4.3,67.7,30.0,60.0,48.0
131,2024-02-03,08:30,6.0,53.0,30.0,58.8,47.0
130,2024-02-03,07:30,7.0,47.7,28.3,58.3,46.67
129,2024-02-03,06:30,8.0,42.3,26.7,57.5,46.0
129,2024-02-03,05:30,9.0,37.0,25.0,57.5,46.0
123,2024-02-03,04:30,9.7,40.0,26.7,55.0,44.0
148,2024-02-03,03:30,10.3,43.0,28.3,66.3,53.0
142,2024-02-03,02:30,11.0,46.0,30.0,63.8,51.0
149,2024-02-03,01:30,10.0,51.0,30.3,67.1,53.67
155,2024-02-03,00:30,9.0,56.0,30.7,73.8,59.0
155,2024-02-02,23:30,8.0,61.0,31.0,73.8,59.0
145,2024-02-02,22:30,7.3,67.7,27.3,65.0,52.0
173,2024-02-02,21:30,6.7,74.3,23.7,91.3,73.0
93,2024-02-02,20:30,6.0,81.0,20.0,48.0,32.0
85,2024-02-02,19:30,4.7,89.3,18.0,42.7,28.33
77,2024-02-02,18:30,3.3,97.7,16.0,37.3,24.67
69,2024-02-02,17:30,2.0,106.0,14.0,32.0,21.0
139,2024-02-02,16:30,966.0,244.0,14.0,62.5,50.0
139,2024-02-02,15:30,966.0,244.0,14.0,62.5,50.0
139,2024-02-02,14:30,966.0,244.0,14.0,62.5,50.0
142,2024-02-02,13:30,907.0,197.3,11.7,63.8,51.0
139,2024-02-02,12:30,966.0,244.0,14.0,62.5,50.0
148,2024-02-02,11:30,789.0,103.9,7.0,66.3,53.0
163,2024-02-02,10:30,526.7,87.2,6.0,81.3,65.0
187,2024-02-02,09:30,264.3,70.6,5.0,103.8,83.0
176,2024-02-02,08:30,2.0,54.0,4.0,93.8,75.0
166,2024-02-02,07:30,17.3,83.4,13.0,97.8,67.33
145,2024-02-02,06:30,32.7,112.8,22.0,65.0,52.0
145,2024-02-02,05:30,48.0,142.2,31.0,106.0,52.0
145,2024-02-02,04:30,48.0,142.2,31.0,106.0,52.0
171,2024-02-02,03:30,19.3,74.7,23.7,88.8,71.0
208,2024-02-02,02:30,5.0,41.0,20.0,123.8,99.0
196,2024-02-02,01:30,5.3,45.7,24.0,112.1,89.67
171,2024-02-02,00:30,5.7,50.3,28.0,88.8,71.0
171,2024-02-01,23:30,6.0,55.0,32.0,88.8,71.0
203,2024-02-01,22:30,6.0,59.3,28.7,118.8,95.0
168,2024-02-01,21:30,6.0,63.7,25.3,86.3,69.0
168,2024-02-01,20:30,6.0,68.0,22.0,86.3,69.0
167,2024-02-01,19:30,14.0,50.4,36.3,121.5,68.33
166,2024-02-01,18:30,22.0,32.8,50.7,156.8,67.67
165,2024-02-01,17:30,30.0,15.1,65.0,192.0,67.0
165,2024-02-01,16:30,30.0,15.1,65.0,192.0,67.0
165,2024-02-01,15:30,30.0,15.1,65.0,192.0,67.0
137,2024-02-01,14:30,1.0,112.0,12.0,61.3,49.0
142,2024-02-01,13:30,1.0,103.7,10.0,63.8,51.0
152,2024-02-01,12:30,1.0,95.3,8.0,71.3,57.0
54,2024-02-01,11:30,1.0,87.0,6.0,23.0,14.0
139,2024-02-01,10:30,210.0,23.5,40.0,62.5,50.0
142,2024-02-01,09:30,35.0,0.8,14.0,63.8,51.0
142,2024-02-01,08:30,35.0,0.8,14.0,63.8,51.0
142,2024-02-01,07:30,35.0,0.8,14.0,63.8,51.0
151,2024-02-01,06:30,35.0,0.8,14.0,70.4,56.33
155,2024-02-01,05:30,35.0,0.8,14.0,73.8,59.0
8,2024-02-01,04:30,50.7,2.7,13.3,2.0,2.0
25,2024-02-01,03:30,66.3,4.7,12.7,6.0,6.0
104,2024-02-01,02:30,82.0,6.7,12.0,46.3,37.0
123,2024-02-01,01:30,82.0,6.8,8.0,55.0,44.0
122,2024-02-01,00:30,79.3,6.4,4.7,54.6,43.67
131,2024-01-31,23:30,78.0,6.3,1.0,58.8,47.0
11,2024-01-31,22:30,82.0,6.8,5.0,1.0,1.0
27,2024-01-31,21:30,30.0,58.8,23.0,5.0,5.0
39,2024-01-31,20:30,6.0,85.0,34.0,5.0,5.0
134,2024-01-31,19:30,106.0,15.7,39.0,118.0,48.0
160,2024-01-31,18:30,21.0,2.4,12.0,74.0,63.0
52,2024-01-31,17:30,2.0,112.0,22.0,4.0,4.0
90,2024-01-31,16:30,33.0,3.6,23.0,41.0,30.5
53,2024-01-31,15:30,1.3,114.7,20.0,4.0,4.0
160,2024-02-05,16:30,17.0,31.2,16.0,90.0,63.0
157,2024-02-05,15:30,12.0,57.8,16.7,83.7,60.67
176,2024-02-05,14:30,17.0,32.2,15.0,98.0,75.0
163,2024-02-05,13:30,17.0,30.4,15.0,92.0,65.0
134,2024-02-05,12:30,134.0,13.5,44.0,60.0,48.0
152,2024-02-05,11:30,1.0,99.0,19.0,71.3,57.0
137,2024-02-05,10:30,202.0,25.3,13.0,61.3,49.0
137,2024-02-05,09:30,3.0,69.7,21.7,61.3,49.0
89,2024-02-05,08:30,4.0,55.0,23.0,48.0,30.0
145,2024-02-05,07:30,3.3,51.3,22.3,65.0,52.0
142,2024-02-05,06:30,2.7,47.6,21.7,63.8,51.0
123,2024-02-05,05:30,2.0,43.9,21.0,55.0,44.0
129,2024-02-05,04:30,3.7,43.6,22.0,57.5,46.0
136,2024-02-05,03:30,5.3,43.3,23.0,60.8,48.67
142,2024-02-05,02:30,7.0,43.0,24.0,63.8,51.0
142,2024-02-05,01:30,7.0,49.3,28.0,63.8,51.0
134,2024-02-05,00:30,105.0,8.6,6.0,148.0,48.0
160,2024-02-04,23:30,7.0,62.0,36.0,78.8,63.0
163,2024-02-04,22:30,7.0,67.7,34.0,81.3,65.0
155,2024-02-04,21:30,7.0,73.3,32.0,73.8,59.0
102,2024-02-04,20:30,7.0,79.0,30.0,57.0,36.0
155,2024-02-04,19:30,5.3,90.3,27.7,73.8,59.0
152,2024-02-04,18:30,3.7,101.7,25.3,71.3,57.0
152,2024-02-04,17:30,2.0,113.0,23.0,71.3,57.0
148,2024-02-04,16:30,1.7,116.3,24.7,66.3,53.0
163,2024-02-04,15:30,1.3,119.7,26.3,81.3,65.0
85,2024-02-04,14:30,1.0,123.0,28.0,48.0,28.0
163,2024-02-04,13:30,1.0,120.0,30.7,81.3,65.0
181,2024-02-04,12:30,1.0,117.0,33.3,98.8,79.0
171,2024-02-04,11:30,1.0,114.0,36.0,88.8,71.0
197,2024-02-04,10:30,334.0,40.5,21.0,113.8,91.0
197,2024-02-04,09:30,334.0,40.5,21.0,113.8,91.0
121,2024-02-04,08:30,7.0,49.0,30.0,67.0,43.0
203,2024-02-04,07:30,3.0,8.5,23.0,118.8,95.0
184,2024-02-04,06:30,9.0,47.7,30.0,101.3,81.0
184,2024-02-04,05:30,10.0,47.0,30.0,101.3,81.0
163,2024-02-04,04:30,9.7,50.0,33.0,81.3,65.0
157,2024-02-04,03:30,9.3,53.0,36.0,76.3,61.0
110,2024-02-04,02:30,9.0,56.0,39.0,60.0,39.0
160,2024-02-04,01:30,98.0,8.0,11.0,172.0,63.0
157,2024-02-04,00:30,111.0,7.8,17.0,180.0,61.0
157,2024-02-03,23:30,111.0,7.8,17.0,180.0,61.0
477,2024-02-03,22:30,80.0,6.6,9.0,581.3,465.0
500,2024-02-03,21:30,79.0,6.5,13.0,736.3,589.0
152,2024-02-03,20:30,9.0,72.0,22.0,71.3,57.0
148,2024-02-03,19:30,6.7,84.0,19.7,66.3,53.0
152,2024-02-03,18:30,4.3,96.0,17.3,71.3,57.0
126,2024-02-03,17:30,2.0,108.0,15.0,56.3,45.0
123,2024-02-03,16:30,1.7,108.7,15.7,55.0,44.0
123,2024-02-03,15:30,1.3,109.3,16.3,55.0,44.0
139,2024-02-03,14:30,1.0,110.0,17.0,62.5,50.0
134,2024-02-03,13:30,1.3,104.0,19.0,60.0,48.0
126,2024-02-03,12:30,1.7,98.0,21.0,56.3,45.0
123,2024-02-03,11:30,2.0,92.0,23.0,55.0,44.0
129,2024-02-03,10:30,3.3,77.0,27.3,57.5,46.0
134,2024-02-03,09:30,4.7,62.0,31.7,60.0,48.0
131,2024-02-03,08:30,6.0,47.0,36.0,58.8,47.0
130,2024-02-03,07:30,7.0,42.3,32.3,58.3,46.67
129,2024-02-03,06:30,8.0,37.7,28.7,57.5,46.0
129,2024-02-03,05:30,9.0,33.0,25.0,57.5,46.0
123,2024-02-03,04:30,9.7,37.3,26.7,55.0,44.0
148,2024-02-03,03:30,10.3,41.7,28.3,66.3,53.0
142,2024-02-03,02:30,11.0,46.0,30.0,63.8,51.0
149,2024-02-03,01:30,10.0,51.0,30.3,67.1,53.67
155,2024-02-03,00:30,9.0,56.0,30.7,73.8,59.0
155,2024-02-02,23:30,8.0,61.0,31.0,73.8,59.0
145,2024-02-02,22:30,7.3,67.7,27.3,65.0,52.0
173,2024-02-02,21:30,6.7,74.3,23.7,91.3,73.0
93,2024-02-02,20:30,6.0,81.0,20.0,48.0,32.0
85,2024-02-02,19:30,4.7,89.3,18.0,42.7,28.33
77,2024-02-02,18:30,3.3,97.7,16.0,37.3,24.67
69,2024-02-02,17:30,2.0,106.0,14.0,32.0,21.0
100,2024-02-06,16:30,31.7,71.7,35.0,155.0,22.33
216,2024-02-06,15:30,89.0,7.2,69.0,365.0,11.0
216,2024-02-06,14:30,89.0,7.2,69.0,365.0,11.0
216,2024-02-06,13:30,89.0,7.2,69.0,365.0,11.0
408,2024-02-06,12:30,79.0,6.4,28.0,510.0,408.0
408,2024-02-06,11:30,79.0,6.4,28.0,510.0,408.0
157,2024-02-06,10:30,54.0,20.9,24.0,76.3,61.0
182,2024-02-06,09:30,29.0,35.5,20.0,227.5,182.0
168,2024-02-06,08:30,4.0,50.0,16.0,86.3,69.0
171,2024-02-06,07:30,4.3,47.3,16.7,88.8,71.0
145,2024-02-06,06:30,4.7,44.7,17.3,65.0,52.0
126,2024-02-06,05:30,5.0,42.0,18.0,56.3,45.0
129,2024-02-06,04:30,17.0,2.9,15.0,58.0,46.0
131,2024-02-06,03:30,5.7,44.7,20.7,58.8,47.0
134,2024-02-06,02:30,6.0,46.0,22.0,60.0,48.0
98,2024-02-06,01:30,89.0,7.5,3.0,90.0,34.0
148,2024-02-06,00:30,115.0,8.1,8.0,172.0,53.0
157,2024-02-05,23:30,7.0,62.0,32.0,76.3,61.0
160,2024-02-05,22:30,115.0,8.9,19.0,170.0,63.0
159,2024-02-05,21:30,79.0,26.6,23.3,138.8,62.33
160,2024-02-05,20:30,115.0,8.9,19.0,170.0,63.0
163,2024-02-05,19:30,77.3,43.2,20.3,81.3,65.0
153,2024-02-05,18:30,17.0,15.0,16.0,72.0,55.0
137,2024-02-05,17:30,2.0,112.0,23.0,61.3,49.0
160,2024-02-05,16:30,17.0,31.2,16.0,90.0,63.0
165,2024-02-05,15:30,12.0,58.8,17.7,85.8,66.33
176,2024-02-05,14:30,17.0,32.2,15.0,98.0,75.0
163,2024-02-05,13:30,17.0,30.4,15.0,92.0,65.0
134,2024-02-05,12:30,134.0,13.5,44.0,60.0,48.0
152,2024-02-05,11:30,1.0,99.0,19.0,71.3,57.0
137,2024-02-05,10:30,202.0,25.3,13.0,61.3,49.0
137,2024-02-05,09:30,3.0,69.7,21.7,61.3,49.0
89,2024-02-05,08:30,4.0,55.0,23.0,48.0,30.0
145,2024-02-05,07:30,3.3,51.3,22.3,65.0,52.0
142,2024-02-05,06:30,2.7,47.6,21.7,63.8,51.0
123,2024-02-05,05:30,2.0,43.9,21.0,55.0,44.0
129,2024-02-05,04:30,3.7,43.6,22.0,57.5,46.0
136,2024-02-05,03:30,5.3,43.3,23.0,60.8,48.67
142,2024-02-05,02:30,7.0,43.0,24.0,63.8,51.0
142,2024-02-05,01:30,7.0,49.3,28.0,63.8,51.0
134,2024-02-05,00:30,105.0,8.6,6.0,148.0,48.0
160,2024-02-04,23:30,7.0,62.0,36.0,78.8,63.0
163,2024-02-04,22:30,7.0,67.7,34.0,81.3,65.0
155,2024-02-04,21:30,7.0,73.3,32.0,73.8,59.0
102,2024-02-04,20:30,7.0,79.0,30.0,57.0,36.0
155,2024-02-04,19:30,5.3,90.3,27.7,73.8,59.0
152,2024-02-04,18:30,3.7,101.7,25.3,71.3,57.0
152,2024-02-04,17:30,2.0,113.0,23.0,71.3,57.0
148,2024-02-04,16:30,1.7,116.3,24.7,66.3,53.0
163,2024-02-04,15:30,1.3,119.7,26.3,81.3,65.0
85,2024-02-04,14:30,1.0,123.0,28.0,48.0,28.0
163,2024-02-04,13:30,1.0,120.0,30.7,81.3,65.0
181,2024-02-04,12:30,1.0,117.0,33.3,98.8,79.0
171,2024-02-04,11:30,1.0,114.0,36.0,88.8,71.0
197,2024-02-04,10:30,334.0,40.5,21.0,113.8,91.0
197,2024-02-04,09:30,334.0,40.5,21.0,113.8,91.0
121,2024-02-04,08:30,7.0,49.0,30.0,67.0,43.0
203,2024-02-04,07:30,3.0,8.5,23.0,118.8,95.0
184,2024-02-04,06:30,9.0,47.7,30.0,101.3,81.0
184,2024-02-04,05:30,10.0,47.0,30.0,101.3,81.0
163,2024-02-04,04:30,9.7,50.0,33.0,81.3,65.0
157,2024-02-04,03:30,9.3,53.0,36.0,76.3,61.0
110,2024-02-04,02:30,9.0,56.0,39.0,60.0,39.0
160,2024-02-04,01:30,98.0,8.0,11.0,172.0,63.0
157,2024-02-04,00:30,111.0,7.8,17.0,180.0,61.0
157,2024-02-03,23:30,111.0,7.8,17.0,180.0,61.0
477,2024-02-03,22:30,80.0,6.6,9.0,581.3,465.0
500,2024-02-03,21:30,79.0,6.5,13.0,736.3,589.0
152,2024-02-03,20:30,9.0,72.0,22.0,71.3,57.0
148,2024-02-03,19:30,6.7,84.0,19.7,66.3,53.0
152,2024-02-03,18:30,4.3,96.0,17.3,71.3,57.0
126,2024-02-03,17:30,2.0,108.0,15.0,56.3,45.0
133,2024-02-08,16:30,1.7,134.0,47.0,70.8,47.67
181,2024-02-08,15:30,1.3,137.0,47.0,98.8,79.0
168,2024-02-08,14:30,1.0,140.0,47.0,86.3,69.0
160,2024-02-08,13:30,1.0,136.0,52.3,78.8,63.0
181,2024-02-08,12:30,1.0,132.0,57.7,98.8,79.0
184,2024-02-08,11:30,1.0,128.0,63.0,101.3,81.0
203,2024-02-08,10:30,3.0,103.7,51.3,118.8,95.0
203,2024-02-08,09:30,5.0,79.3,39.7,118.8,95.0
240,2024-02-08,08:30,7.0,55.0,28.0,153.8,123.0
245,2024-02-08,07:30,7.7,55.0,26.3,158.8,127.0
205,2024-02-08,06:30,8.3,55.0,24.7,121.3,97.0
195,2024-02-08,05:30,9.0,55.0,23.0,111.3,89.0
186,2024-02-08,04:30,8.3,58.0,25.0,102.9,82.33
168,2024-02-08,03:30,7.7,61.0,27.0,86.3,69.0
168,2024-02-08,02:30,7.0,64.0,29.0,86.3,69.0
155,2024-02-08,01:30,982.0,255.4,12.0,73.8,59.0
155,2024-02-08,00:30,982.0,255.4,12.0,73.8,59.0
112,2024-02-07,23:30,8.0,73.0,44.0,65.0,40.0
149,2024-02-07,22:30,22.0,53.6,54.3,103.3,53.67
184,2024-02-07,21:30,50.0,14.7,75.0,180.0,81.0
184,2024-02-07,20:30,50.0,14.7,75.0,180.0,81.0
184,2024-02-07,19:30,50.0,14.7,75.0,180.0,81.0
142,2024-02-07,18:30,18.7,77.6,36.3,63.8,51.0
145,2024-02-07,17:30,3.0,109.0,17.0,65.0,52.0
143,2024-02-07,16:30,33.7,75.5,37.3,64.2,51.33
145,2024-02-07,15:30,64.3,42.0,57.7,65.0,52.0
139,2024-02-07,14:30,95.0,8.4,78.0,62.5,50.0
163,2024-02-07,13:30,161.0,19.1,74.0,81.3,65.0
163,2024-02-07,12:30,161.0,19.1,74.0,81.3,65.0
195,2024-02-07,11:30,161.0,19.1,21.0,111.3,89.0
207,2024-02-07,10:30,109.7,29.8,22.0,122.9,98.33
211,2024-02-07,09:30,58.3,40.4,23.0,126.3,101.0
232,2024-02-07,08:30,7.0,51.0,24.0,146.3,117.0
205,2024-02-07,07:30,35.0,37.3,21.3,121.3,97.0
165,2024-02-07,06:30,81.0,6.7,17.0,83.8,67.0
168,2024-02-07,05:30,91.0,9.9,16.0,86.3,69.0
152,2024-02-07,04:30,63.0,22.3,18.0,75.8,56.67
124,2024-02-07,03:30,35.0,34.6,20.0,65.4,44.33
93,2024-02-07,02:30,7.0,47.0,22.0,55.0,32.0
237,2024-02-07,01:30,71.0,7.5,22.0,124.0,121.0
237,2024-02-07,00:30,71.0,7.5,22.0,124.0,121.0
237,2024-02-06,23:30,71.0,7.5,22.0,124.0,121.0
237,2024-02-06,22:30,71.0,7.5,22.0,124.0,121.0
265,2024-02-06,21:30,69.0,7.5,20.7,142.7,141.67
152,2024-02-06,20:30,68.0,7.5,20.0,152.0,152.0
178,2024-02-06,19:30,61.0,7.5,23.0,178.0,178.0
178,2024-02-06,18:30,61.0,7.5,23.0,178.0,178.0
178,2024-02-06,17:30,61.0,7.5,23.0,178.0,178.0
239,2024-02-06,16:30,70.3,7.4,38.3,240.3,122.33
216,2024-02-06,15:30,89.0,7.2,69.0,365.0,11.0
216,2024-02-06,14:30,89.0,7.2,69.0,365.0,11.0
216,2024-02-06,13:30,89.0,7.2,69.0,365.0,11.0
408,2024-02-06,12:30,79.0,6.4,28.0,510.0,408.0
408,2024-02-06,11:30,79.0,6.4,28.0,510.0,408.0
157,2024-02-06,10:30,54.0,20.9,24.0,76.3,61.0
182,2024-02-06,09:30,29.0,35.5,20.0,227.5,182.0
168,2024-02-06,08:30,4.0,50.0,16.0,86.3,69.0
171,2024-02-06,07:30,4.3,47.3,16.7,88.8,71.0
145,2024-02-06,06:30,4.7,44.7,17.3,65.0,52.0
126,2024-02-06,05:30,5.0,42.0,18.0,56.3,45.0
129,2024-02-06,04:30,17.0,2.9,15.0,58.0,46.0
131,2024-02-06,03:30,5.7,44.7,20.7,58.8,47.0
134,2024-02-06,02:30,6.0,46.0,22.0,60.0,48.0
98,2024-02-06,01:30,89.0,7.5,3.0,90.0,34.0
148,2024-02-06,00:30,115.0,8.1,8.0,172.0,53.0
157,2024-02-05,23:30,7.0,62.0,32.0,76.3,61.0
160,2024-02-05,22:30,115.0,8.9,19.0,170.0,63.0
159,2024-02-05,21:30,79.0,26.6,23.3,138.8,62.33
160,2024-02-05,20:30,115.0,8.9,19.0,170.0,63.0
163,2024-02-05,19:30,77.3,43.2,20.3,81.3,65.0
153,2024-02-05,18:30,17.0,15.0,16.0,72.0,55.0
137,2024-02-05,17:30,2.0,112.0,23.0,61.3,49.0
